Date Inspected,Date Completed,Cable Company ,Type Area Inspected,Street Name,Street Type,City,Intersection,Violation,Alert,Resident Generated,In-Field Violations,Site Survey,Re-Inspection,Re-Inspection Date,Violation Type
10/01/2010,10/25/2010,Comcast,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,0,,Equipment
10/01/2010,10/25/2010,Comcast,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,1,01/18/2012,Drop
10/01/2010,11/01/2010,Verizon,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,1,12/07/2010,Equipment
10/01/2010,10/25/2010,Comcast,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,1,01/18/2012,Drop
10/01/2010,10/25/2010,Comcast,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,1,01/18/2012,Drop
10/01/2010,10/25/2010,Comcast,UG,Mustard Seed,Ct,Germantown,,1,0,0,1,0,1,01/18/2012,Drop
10/05/2010,10/07/2010,Comcast,UG,Birdseye,Ter,Germantown,,0,1,1,0,0,1,12/28/2011,Drop
10/04/2010,10/25/2010,Comcast,UG,Cross Ridge,Ct,Germantown,,1,0,1,0,0,1,06/17/2011,Restoration
10/04/2010,10/25/2010,Comcast,UG,Cross Ridge,Ct,Germantown,,1,0,0,1,0,1,06/17/2011,Drop
10/04/2010,10/25/2010,Comcast,UG,Cross Ridge,Ct,Germantown,Middlebrook Rd,1,0,0,1,0,0,,Equipment
10/04/2010,11/06/2010,Verizon,Aerial,Muncaster Mill,Rd,Rockville,Snow Creek Dr,1,0,0,1,0,0,,Drop
10/04/2010,10/25/2010,Comcast,UG,Lea Pond,Ct,Rockville,,1,0,0,0,0,0,,Drop
10/04/2010,10/15/2011,Comcast,Aerial,Persimmon Tree,Rd,Bethesda,,1,0,0,1,0,1,10/11/2011,Drop
10/04/2010,10/25/2010,Comcast,UG,Persimmon Tree,Rd,Bethesda,Carlynn Dr,1,0,0,0,0,0,,Equipment
